
Horizontal dump of pitloc:
ddbkey	id	pit	region	blendrec	path	bean	invbean	simdump	haul	ore	dumpfeed	dumpcapy	binsize	xloc	yloc	pathix	timedump	zloc	signid	unit	load	istiedown	status	linestat	spillage	split	signpost	shoptype	dumpqueue	pctcapy	bays	nopenalty	timelast	radius	gpstype	reason	tdset	prior	availbays	ignunexarr	disablearrchk	
965438	BOT	ROSARIO				R_BOT		<record>	0.000000	0.000000	0.000000	10000000000.000000	0.000000	28497	82023	65535	60	4500.000000	65535	Fase	Planta	No	Operativo	Operativo	No	<array>	8	Otro	0	100	0	0	0	0	Desabilitado	-1	0	1	0	0	0	
965656	C-ENTRENAMIENTO	ROSARIO	ESTACIONAMIENTO					<record>	0.000000	0.000000	0.000000	10000000000.000000	0.000000	28419	79699	0	60	4603.000000	65535	Cambio Turno	<bad enum>	No	Reserva	Reserva	No	<array>	0	Otro	0	100	0	0	0	0	Desabilitado	-1	0	1	0	0	0	
965874	CAPELLA							<record>	1000.000000	0.000000	0.000000	10000000000.000000	0.000000	0	76000	65535	60	4837.200195	65535	Mina	Planta	No	Panne	Panne	No	<array>	8	Otro	0	100	0	0	0	0	Desabilitado	-1	0	1	0	0	0	
966092	CO01	UJINA	UF0					<record>	0.000000	0.000000	3800.000000	4000.000000	0.000000	38394	79907	1	84	4365.100098	15	Chancador	Sul. Baja High	No	Panne	Operativo	No	<array>	8	Otro	0	0	2	0	0	40	Punto Final	-1	0	1	0	0	0	
966310	CS01	UJINA	UF0					<record>	0.000000	0.000000	3800.000000	4000.000000	0.000000	38309	79873	2	66	4367.200195	12	Chancador	Sul. Baja High	No	Panne	Reserva	No	<array>	8	Otro	0	0	2	0	0	40	Punto Final S	-1	0	1	0	0	0	
966528	CS03	ROSARIO	STOCK			D_CS03		<record>	0.000000	55800.000000	10200.000000	10500.000000	0.000000	30501	82687	3	56	4565.000000	183	Chancador	Sul. Media	No	Operativo	Panne	No	<array>	9	Otro	0	100	2	0	0	0	Punto Final	-1	0	1	1	0	0	
966746	ESTAC 4600	ROSARIO	ESTACIONAMIENTO					<record>	0.000000	0.000000	0.000000	10000000000.000000	0.000000	29032	80355	4	60	4603.100098	461	Cambio Turno	<bad enum>	No	Operativo	Operativo	No	<array>	0	Otro	10	100	0	0	0	0	Punto Interm.	-1	0	1	0	0	0	
966964	ESTACIONAMIENTO	ROSARIO						<record>	0.000000	0.000000	0.000000	10000000000.000000	0.000000	0	0	65535	60	0.000000	65535	Fase	Planta	No	Reserva	Reserva	No	<array>	8	Otro	0	100	0	0	0	0	Desabilitado	-1	0	1	0	0	0	
967182	HUIESTE	HUIESTE						<record>	1000.000000	0.000000	0.000000	10000000000.000000	0.000000	34268	82351	65535	60	4597.500000	65535	Mina	Planta	No	Panne	Panne	No	<array>	8	Otro	0	100	0	0	0	0	Desabilitado	-1	0	1	0	0	0	
967400	HUINORTE							<record>	1000.000000	0.000000	0.000000	10000000000.000000	0.000000	0	0	65535	60	4554.899902	65535	Mina	Planta	No	Panne	Panne	No	<array>	8	Otro	0	100	0	0	0	0	Desabilitado	-1	0	1	0	0	0	
967618	HUISUR	HUISUR						<record>	1000.000000	0.000000	0.000000	10000000000.000000	0.000000	0	76000	65535	60	4255.600098	65535	Mina	Planta	No	Panne	Panne	No	<array>	8	Otro	0	100	0	0	0	0	Desabilitado	-1	0	1	0	0	0	
967836	NAVE01	ROSARIO	TALLER					<record>	0.000000	0.000000	0.000000	10000000000.000000	0.000000	30588	82985	5	60	4567.000000	65535	Nodo	<bad enum>	No	Reserva	Reserva	No	<array>	0	Otro	0	100	0	0	0	0	Desabilitado	-1	0	1	0	0	0	
