Horizontal dump of travel:
ddbkey	id	locstart	locend	xgraph	ygraph	dist	timeempty	timeloaded	closed	factor	street	resist	
1411328	000EBC18	C-ENTRENAMIENTO	NR216	<array>	<array>	477	52	94	0	100		0.000000	
1411482	000EBDCC	CO01	NU58	<array>	<array>	46	10	23	0	100		0.000000	
1411636	000EBEA6	CS01	NU41	<array>	<array>	78	14	13	0	100		0.000000	
1411790	000EBF80	CS03	NR347	<array>	<array>	58	10	12	0	100		0.000000	
1411944	000EBF80	CS03	NR353	<array>	<array>	48	11	15	0	100		0.000000	
1412098	000EC05A	ESTAC 4600	NR231	<array>	<array>	290	46	75	0	100		0.000000	
1412252	000EC49C	NAVE01	TALLER ROSARIO	<array>	<array>	57	10	8	0	100		0.000000	
1412406	000EC576	NAVE02	TALLER ROSARIO	<array>	<array>	49	6	7	0	100		0.000000	
1412560	000EC650	NAVE03	TALLER ROSARIO	<array>	<array>	43	6	6	0	100		0.000000	
1412714	000EC72A	NAVE04	TALLER ROSARIO	<array>	<array>	36	3	5	0	100		0.000000	
1412868	000EC804	NAVE05	TALLER ROSARIO	<array>	<array>	32	6	5	0	100		0.000000	
1413022	000EC8DE	NAVE06	TALLER ROSARIO	<array>	<array>	32	5	5	0	100		0.000000	
1413176	000EC9B8	NAVE07	TALLER ROSARIO	<array>	<array>	34	4	5	0	100		0.000000	
1413330	000ECA92	NAVE08	TALLER ROSARIO	<array>	<array>	39	8	8	0	100		0.000000	
1413484	000ECB6C	NAVE09	TALLER ROSARIO	<array>	<array>	48	11	7	0	100		0.000000	
1413638	000ECC46	NAVE10	TALLER ROSARIO	<array>	<array>	45	6	7	0	100		0.000000	
1413792	000ECD20	NAVE11	TALLER ROSARIO	<array>	<array>	40	5	6	0	100		0.000000	
1413946	000ECDFA	NAVE12	TALLER ROSARIO	<array>	<array>	39	6	6	0	100		0.000000	
1414100	000ECED4	NAVE13	TALLER ROSARIO	<array>	<array>	40	10	6	0	100		0.000000	
1414254	000ECFAE	NAVE14	TALLER ROSARIO	<array>	<array>	41	7	12	0	100		0.000000	
1414408	000ED088	NAVE15	TALLER ROSARIO	<array>	<array>	45	7	9	0	100		0.000000	
1414562	000ED162	NAVE16	TALLER ROSARIO	<array>	<array>	50	6	14	0	100		0.000000	
1414716	000ED23C	NAVE17	TALLER ROSARIO	<array>	<array>	55	7	8	0	100		0.000000	
1414870	000ED316	NAVE18	TALLER ROSARIO	<array>	<array>	63	14	18	0	100		0.000000	
1415024	000ED3F0	NR1000	NR1047	<array>	<array>	113	19	16	0	100		0.000000	
1415178	000ED3F0	NR1000	NR1029	<array>	<array>	233	93	150	0	100		0.000000	
1415332	000ED3F0	NR1000	NR1041	<array>	<array>	250	31	61	0	100		0.000000	
1415486	000ED4CA	NR1001	NR1020	<array>	<array>	300	36	52	0	100		0.000000	
1415640	000ED4CA	NR1001	NR231	<array>	<array>	287	37	41	0	100		0.000000	
1415794	000ED5A4	NR1002	NR1031	<array>	<array>	102	22	18	0	100		0.000000	
1415948	000ED5A4	NR1002	NR1040	<array>	<array>	108	14	15	0	100		0.000000	
